date;music;voice;perfect;great;good;ok;missed;evaluated;precision
2026-05-22T13:59:34.935462;Quem de Nós - Vocal Livre;Filho;161;4;5;1;6;177;98.2846
2026-05-22T14:32:12.854433;Meu Lar - Prisma Brasil;Tenor;352;16;5;4;51;428;93.2959
2026-05-22T14:39:22.252462;Meu Lar - Prisma Brasil;Tenor;359;10;4;4;51;428;92.5989
2026-05-24T11:59:39.952662;Quem de Nós - Vocal Livre;Filho;156;4;5;1;11;177;96.8846
2026-05-24T15:03:45.6895866;Quem de Nós - Vocal Livre;Filho;158;5;2;1;11;177;97.0514
2026-05-24T15:53:54.7140154;Quem de Nós - Vocal Livre;Filho;160;4;3;0;10;177;97.7395
2026-05-24T17:25:07.9158646;Meu Lar - Prisma Brasil;Tenor;356;13;4;1;54;428;93.3555
2026-05-24T17:36:11.5747563;Usa-me, Renova-me com Tal Qual Estou - unknown;Tenor;99;12;7;8;4;130;93.1749
2026-05-24T17:46:42.1724038;Levanto a Cruz - Adoradores 4;Tenor;300;13;7;3;28;351;92.7159
2026-05-24T17:52:09.6711787;Levanto a Cruz - Adoradores 4;Tenor;296;19;7;4;25;351;93.3986
2026-05-24T18:26:21.9956594;Digno é o Senhor - Nova Voz;Tenor;247;9;13;5;21;295;93.2799
2026-05-25T06:46:25.7561079;Meu Lar - Prisma Brasil;Tenor;349;14;10;4;51;428;92.4815
2026-05-25T10:48:42.1568597;Usa-me, Renova-me com Tal Qual Estou - unknown;Tenor;98;12;11;2;7;130;93.6393
